#datatype string,string,string,date,tag
"ภาคใต้ฝั่งตะวันตก","ตรัง","หาดสำราญ","0.05","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","ปัตตานี","แม่ลาน","0.05","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","ปัตตานี","หนองจิก","0.05","เล็กน้อย-ปานกลาง"
"ภาคกลาง","กรุงเทพมหานคร","มีนบุรี","0.04","เล็กน้อย-ปานกลาง"
"ภาคกลาง","ปทุมธานี","สามโคก","0.04","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","ระยอง","บ้านค่าย","0.04","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","ประจวบคีรีขันธ์","บางสะพาน","0.04","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันตก","กระบี่","เกาะลันตา","0.04","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สุราษฎร์ธานี","บ้านนาเดิม","0.04","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สุราษฎร์ธานี","เมืองสุราษฎร์ธาน","0.04","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","ชุมพร","พะโต๊ะ","0.04","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สงขลา","บางกล่ำ","0.04","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สงขลา","นาทวี","0.04","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","ปัตตานี","โคกโพธิ์","0.04","เล็กน้อย-ปานกลาง"
"ภาคกลาง","พระนครศรีอยุธยา","บ้านแพรก","0.03","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","ระยอง","วังจันทร์","0.03","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","ตราด","แหลมงอบ","0.03","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","ชุมพร","หลังสวน","0.03","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","ชุมพร","ทุ่งตะโก","0.03","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","ปัตตานี","มายอ","0.03","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นราธิวาส","สุไหงโก-ลก","0.03","เล็กน้อย-ปานกลาง"
"ภาคกลาง","สมุทรปราการ","บางพลี","0.02","เล็กน้อย-ปานกลาง"
"ภาคกลาง","อ่างทอง","ไชโย","0.02","เล็กน้อย-ปานกลาง"
"ภาคกลาง","ลพบุรี","เมืองลพบุรี","0.02","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","ระยอง","เขาชะเมา","0.02","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","ระยอง","ปลวกแดง","0.02","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","จันทบุรี","แหลมสิงห์","0.02","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","ปราจีนบุรี","เมืองปราจีนบุรี","0.02","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","น่าน","ทุ่งช้าง","0.02","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","ตาก","สามเงา","0.02","เล็กน้อย-ปานกลาง"
"ภาคกลาง","นครปฐม","นครชัยศรี","0.02","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สงขลา","เทพา","0.02","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","ปัตตานี","ยะรัง","0.02","เล็กน้อย-ปานกลาง"
"ภาคกลาง","กรุงเทพมหานคร","สายไหม","0.01","เล็กน้อย-ปานกลาง"
"ภาคกลาง","สมุทรปราการ","บางเสาธง","0.01","เล็กน้อย-ปานกลาง"
"ภาคกลาง","นนทบุรี","บางกรวย","0.01","เล็กน้อย-ปานกลาง"
"ภาคกลาง","สระบุรี","หนองแซง","0.01","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","จันทบุรี","ขลุง","0.01","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","จันทบุรี","เมืองจันทบุรี","0.01","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","ฉะเชิงเทรา","ท่าตะเกียบ","0.01","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","ปราจีนบุรี","ศรีมหาโพธิ","0.01","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","ปราจีนบุรี","ศรีมโหสถ","0.01","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","เชียงใหม่","เชียงดาว","0.01","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","เชียงใหม่","เวียงแหง","0.01","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","อุตรดิตถ์","ทองแสนขัน","0.01","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","เชียงราย","เมืองเชียงราย","0.01","เล็กน้อย-ปานกลาง"
"ภาคกลาง","นครปฐม","สามพราน","0.01","เล็กน้อย-ปานกลาง"
"ภาคกลาง","สมุทรสาคร","กระทุ่มแบน","0.01","เล็กน้อย-ปานกลาง"
