#datatype string,string,string,date,tag
"ภาคตะวันออกเฉียงเหนือ","ยโสธร","คำเขื่อนแก้ว","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ยโสธร","ค้อวัง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ยโสธร","กุดชุม","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ยโสธร","เลิงนกทา","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ยโสธร","มหาชนะชัย","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ยโสธร","เมืองยโสธร","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ยโสธร","ป่าติ้ว","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ยโสธร","ทรายมูล","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ยโสธร","ไทยเจริญ","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ชัยภูมิ","บำเหน็จณรงค์","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ชัยภูมิ","บ้านเขว้า","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ชัยภูมิ","บ้านแท่น","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ชัยภูมิ","จัตุรัส","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ชัยภูมิ","แก้งคร้อ","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ชัยภูมิ","เกษตรสมบูรณ์","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ชัยภูมิ","คอนสาร","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ชัยภูมิ","คอนสวรรค์","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ชัยภูมิ","เมืองชัยภูมิ","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ชัยภูมิ","เนินสง่า","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ชัยภูมิ","หนองบัวแดง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ชัยภูมิ","หนองบัวระเหว","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ชัยภูมิ","ภักดีชุมพล","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ชัยภูมิ","ภูเขียว","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ชัยภูมิ","ซับใหญ่","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ชัยภูมิ","เทพสถิต","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","อำนาจเจริญ","ชานุมาน","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","อำนาจเจริญ","หัวตะพาน","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","อำนาจเจริญ","ลืออำนาจ","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","อำนาจเจริญ","เมืองอำนาจเจริญ","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","อำนาจเจริญ","ปทุมราชวงศา","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","อำนาจเจริญ","พนา","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","อำนาจเจริญ","เสนางคนิคม","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","บึงกาฬ","บึงโขงหลง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","บึงกาฬ","บุ่งคล้า","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","บึงกาฬ","เมืองบึงกาฬ","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","บึงกาฬ","ปากคาด","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","บึงกาฬ","พรเจริญ","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","บึงกาฬ","เซกา","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","บึงกาฬ","ศรีวิไล","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","บึงกาฬ","โซ่พิสัย","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","หนองบัวลำภู","เมืองหนองบัวลำภู","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","หนองบัวลำภู","นากลาง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","หนองบัวลำภู","นาวัง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","หนองบัวลำภู","โนนสัง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","หนองบัวลำภู","ศรีบุญเรือง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","หนองบัวลำภู","สุวรรณคูหา","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ขอนแก่น","บ้านฝาง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ขอนแก่น","บ้านแฮด","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ขอนแก่น","บ้านไผ่","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ขอนแก่น","ชนบท","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ขอนแก่น","ชุมแพ","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ขอนแก่น","เขาสวนกวาง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ขอนแก่น","โคกโพธิ์ไชย","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ขอนแก่น","กระนวน","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ขอนแก่น","มัญจาคีรี","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ขอนแก่น","เมืองขอนแก่น","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ขอนแก่น","น้ำพอง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ขอนแก่น","โนนศิลา","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ขอนแก่น","หนองนาคำ","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ขอนแก่น","หนองเรือ","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ขอนแก่น","หนองสองห้อง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ขอนแก่น","พล","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ขอนแก่น","พระยืน","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ขอนแก่น","ภูผาม่าน","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ขอนแก่น","ภูเวียง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ขอนแก่น","เปือยน้อย","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ขอนแก่น","ซำสูง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ขอนแก่น","สีชมพู","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ขอนแก่น","อุบลรัตน์","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ขอนแก่น","แวงน้อย","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ขอนแก่น","แวงใหญ่","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ขอนแก่น","เวียงเก่า","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","อุดรธานี","บ้านดุง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","อุดรธานี","บ้านผือ","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","อุดรธานี","ไชยวาน","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","อุดรธานี","กู่แก้ว","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","อุดรธานี","กุมภวาปี","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","อุดรธานี","กุดจับ","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","อุดรธานี","เมืองอุดรธานี","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","อุดรธานี","นายูง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","อุดรธานี","น้ำโสม","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","อุดรธานี","โนนสะอาด","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","อุดรธานี","หนองหาน","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","อุดรธานี","หนองแสง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","อุดรธานี","หนองวัวซอ","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","อุดรธานี","เพ็ญ","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","อุดรธานี","พิบูลย์รักษ์","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","อุดรธานี","ประจักษ์ศิลปาคม","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","อุดรธานี","สร้างคอม","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","อุดรธานี","ศรีธาตุ","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","อุดรธานี","ทุ่งฝน","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","อุดรธานี","วังสามหมอ","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","เลย","เชียงคาน","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","เลย","ด่านซ้าย","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","เลย","เอราวัณ","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","เลย","เมืองเลย","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","เลย","นาด้วง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","เลย","นาแห้ว","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","เลย","หนองหิน","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","เลย","ปากชม","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","เลย","ผาขาว","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","เลย","ภูกระดึง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","เลย","ภูหลวง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","เลย","ภูเรือ","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","เลย","ท่าลี่","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","เลย","วังสะพุง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","หนองคาย","เฝ้าไร่","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","หนองคาย","เมืองหนองคาย","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","หนองคาย","โพธิ์ตาก","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","หนองคาย","โพนพิสัย","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","หนองคาย","รัตนวาปี","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","หนองคาย","สระใคร","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","หนองคาย","สังคม","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","หนองคาย","ศรีเชียงใหม่","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","หนองคาย","ท่าบ่อ","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","มหาสารคาม","บรบือ","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","มหาสารคาม","เชียงยืน","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","มหาสารคาม","ชื่นชม","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","มหาสารคาม","แกดำ","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","มหาสารคาม","กันทรวิชัย","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","มหาสารคาม","โกสุมพิสัย","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","มหาสารคาม","กุดรัง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","มหาสารคาม","เมืองมหาสารคาม","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","มหาสารคาม","นาเชือก","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","มหาสารคาม","นาดูน","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","มหาสารคาม","พยัคฆภูมิพิสัย","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","มหาสารคาม","วาปีปทุม","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","มหาสารคาม","ยางสีสุราช","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ร้อยเอ็ด","อาจสามารถ","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ร้อยเอ็ด","จังหาร","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ร้อยเอ็ด","จตุรพักตรพิมาน","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ร้อยเอ็ด","เชียงขวัญ","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ร้อยเอ็ด","เกษตรวิสัย","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ร้อยเอ็ด","เมยวดี","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ร้อยเอ็ด","เมืองร้อยเอ็ด","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ร้อยเอ็ด","เมืองสรวง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ร้อยเอ็ด","หนองฮี","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ร้อยเอ็ด","หนองพอก","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ร้อยเอ็ด","ปทุมรัตต์","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ร้อยเอ็ด","พนมไพร","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ร้อยเอ็ด","โพธิ์ชัย","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ร้อยเอ็ด","โพนทราย","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ร้อยเอ็ด","โพนทอง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ร้อยเอ็ด","เสลภูมิ","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ร้อยเอ็ด","ศรีสมเด็จ","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ร้อยเอ็ด","สุวรรณภูมิ","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ร้อยเอ็ด","ธวัชบุรี","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","ร้อยเอ็ด","ทุ่งเขาหลวง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","กาฬสินธุ์","ดอนจาน","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","กาฬสินธุ์","ห้วยเม็ก","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","กาฬสินธุ์","ห้วยผึ้ง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","กาฬสินธุ์","กมลาไสย","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","กาฬสินธุ์","คำม่วง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","กาฬสินธุ์","เขาวง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","กาฬสินธุ์","ฆ้องชัย","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","กาฬสินธุ์","กุฉินารายณ์","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","กาฬสินธุ์","เมืองกาฬสินธุ์","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","กาฬสินธุ์","นาคู","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","กาฬสินธุ์","นามน","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","กาฬสินธุ์","หนองกุงศรี","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","กาฬสินธุ์","ร่องคำ","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","กาฬสินธุ์","สหัสขันธ์","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","กาฬสินธุ์","สามชัย","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","กาฬสินธุ์","สมเด็จ","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","กาฬสินธุ์","ท่าคันโท","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","กาฬสินธุ์","ยางตลาด","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","สกลนคร","อากาศอำนวย","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","สกลนคร","บ้านม่วง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","สกลนคร","เจริญศิลป์","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","สกลนคร","คำตากล้า","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","สกลนคร","โคกศรีสุพรรณ","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","สกลนคร","กุสุมาลย์","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","สกลนคร","กุดบาก","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","สกลนคร","เมืองสกลนคร","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","สกลนคร","นิคมน้ำอูน","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","สกลนคร","พังโคน","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","สกลนคร","พรรณานิคม","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","สกลนคร","โพนนาแก้ว","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","สกลนคร","ภูพาน","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","สกลนคร","สว่างแดนดิน","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","สกลนคร","ส่องดาว","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","สกลนคร","เต่างอย","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","สกลนคร","วานรนิวาส","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","สกลนคร","วาริชภูมิ","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","นครพนม","บ้านแพง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","นครพนม","เมืองนครพนม","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","นครพนม","นาแก","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","นครพนม","นาทม","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","นครพนม","นาหว้า","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","นครพนม","โพนสวรรค์","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","นครพนม","ปลาปาก","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","นครพนม","เรณูนคร","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","นครพนม","ศรีสงคราม","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","นครพนม","ท่าอุเทน","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","นครพนม","ธาตุพนม","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","นครพนม","วังยาง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","มุกดาหาร","ดอนตาล","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","มุกดาหาร","ดงหลวง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","มุกดาหาร","คำชะอี","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","มุกดาหาร","เมืองมุกดาหาร","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","มุกดาหาร","นิคมคำสร้อย","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","มุกดาหาร","หนองสูง","0.00","เล็กน้อย-ปานกลาง"
"ภาคตะวันออกเฉียงเหนือ","มุกดาหาร","หว้านใหญ่","0.00","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","เชียงใหม่","ไชยปราการ","0.00","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","เชียงใหม่","ดอยหล่อ","0.00","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","เชียงใหม่","ดอยสะเก็ด","0.00","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","เชียงใหม่","ดอยเต่า","0.00","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","เชียงใหม่","ฝาง","0.00","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","เชียงใหม่","หางดง","0.00","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","เชียงใหม่","แม่อาย","0.00","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","เชียงใหม่","แม่ออน","0.00","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","เชียงใหม่","แม่ริม","0.00","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","เชียงใหม่","เมืองเชียงใหม่","0.00","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","เชียงใหม่","พร้าว","0.00","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","เชียงใหม่","สันกำแพง","0.00","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","เชียงใหม่","สันป่าตอง","0.00","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","เชียงใหม่","สันทราย","0.00","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","เชียงใหม่","สารภี","0.00","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","ลำพูน","บ้านโฮ่ง","0.00","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","ลำพูน","บ้านธิ","0.00","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","ลำพูน","ลี้","0.00","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","ลำพูน","แม่ทา","0.00","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","ลำพูน","เมืองลำพูน","0.00","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","ลำพูน","ป่าซาง","0.00","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","ลำพูน","ทุ่งหัวช้าง","0.00","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","ลำพูน","เวียงหนองล่อง","0.00","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","ลำปาง","แจ้ห่ม","0.00","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","ลำปาง","ห้างฉัตร","0.00","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","ลำปาง","เกาะคา","0.00","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","ลำปาง","แม่เมาะ","0.00","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","ลำปาง","แม่พริก","0.00","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","ลำปาง","แม่ทะ","0.00","เล็กน้อย-ปานกลาง"
